RocA-up-regulated	RocA-down-regulated
LAMP1	HSPA4
FLNB	PTGES3
TXNDC5	SRSF2
GPS1	POLR2A
HIST1H2AM	ITM2B
HADH	NUDC
RBX1	SRRM2
GMPS	PCM1
ACOT7	CHD4
ATXN2	PSMD14
TPP2	HNRNPA0
CIR1	MCM7
ABCD3	NCAPD2
WDR43	MCM3AP
NDUFS8	AP2M1
TMED4	PNP
HSD17B4	PBK
FXYD5	RAB7A
ACP1	PSME3
VAMP3	SF1
RNF219	SLK
SUPV3L1	NRDC
ARPC3	MGEA5
RPP30	H2AFZ
MRPL20	U2AF2
CNIH1	DARS
GLG1	NUP153
U2SURP	MTA2
NDUFV3	TRIP12
CCNL1	LMNB1
PCCB	PRMT1
HIST3H2A	YBX3
MORC3	KIF11
SLIRP	TPX2
NDUFA9	GNB2
PDLIM1	STK26
TM9SF4	HNRNPH3
LSM4	MCM4
NAA20	KDM5C
USP14	GLUL
NIPSNAP1	DPYSL2
NDUFS6	ARHGDIA
MTHFD2	ENAH
ACO2	TP53
SDHA	TM9SF3
SRPRA	VDAC3
SYPL1	LRRC59
NOC3L	SMC2
CDC40	TFG
KIF2A	ARCN1
RPAP2	APP
DNAJA2	HMGB2
SEC61G	GMNN
PPP6C	ACTN4
CDCA7	GART
NOL9	HIF1A
MESDC2	UBQLN1
LONP1	EIF4G2
ATP5I	MYH9
NPEPPS	SCD
HADHA	EIF5B
NCAPD3	CSNK1A1
ZSWIM6	PRRC2A
ATP6V1A	COX6B1
HMGN2	PSMC4
MGST1	PLD3
MRPS14	SUPT5H
FAM50A	DAZAP1
ARNT	ME2
RNASEK	DDX3X
ICMT	DDX17
MRPS2	YTHDF2
NENF	TJP1
RAC3	TRA2A
ALG8	RPS14
MCPH1	RPA1
BIRC6	KDM1A
CIRBP	HNRNPC
PTCD3	ETF1
EIF3J	ATP5G3
HIST1H2AI	USP7
YARS2	SCAF11
REEP2	CDC123
KMT2B	SNRPD3
PLOD1	IRF2BP2
CTB-50L17.10	GNAI3
TMEM256	WDR77
SRP72	CHD1
NHP2	IKBKAP
SRP68	ELAVL1
NDUFB5	STAG2
NUP54	NUDT5
ZNHIT3	PDS5A
ADI1	CNOT3
POLR2L	RRM1
TMED10	BUB1B
DUT	NUMA1
PCYOX1L	CD63
KRTCAP2	KMT2D
KIAA1429	PPP4C
RABGGTB	HSPA1B
IFI30	SEC61A1
GPX4	NAA50
SRSF6	CLSTN1
MRPL9	USP1
BCAT2	PPP6R3
PIGK	BRD2
FBXO21	LSM14A
MAK16	VARS
GRPEL1	LAMB1
LSM5	SLFN11
COX8A	SF3A3
COX5A	SLC29A1
MTERF4	GSPT1
ANKLE2	SYNCRIP
SIN3B	DDX39A
CCNL2	EP300
AIMP1	YWHAH
URB1	CERS2
ADPRHL2	FDPS
SEC24B	11-Sep
NLE1	ACTR3
ACOT2	CSK
RBM22	LMNA
TXNDC15	EIF5
SUCLA2	CUL3
CTH	SMCHD1
ATP13A1	RAD23B
CAMK2G	EIF2S1
SUMF2	QRICH1
NDUFV2	PSMB2
WDR4	PAIP2
GSTP1	SRP14
TMEM87A	FAM208B
CCNH	MKI67
SAR1B	MTDH
UQCC2	SMC4
HIST1H2AE	EBNA1BP2
ABCC1	CCNG1
EPCAM	SNRPD2
NFX1	YWHAQ
ATP6V0B	WAPL
SLTM	SYAP1
MRPS10	CLINT1
MGST3	NASP
RPGRIP1L	SFXN1
PPA2	ACTR1A
ST7L	THRAP3
PSMG2	FOXC1
JAM3	SSB
OXCT1	HDAC2
DDX31	IPO11
ATPAF1	ALDH18A1
C8orf33	AARS
STMN3	CORO1C
TPRN	RNH1
SUGP1	SLC38A1
C1orf35	USO1
XBP1	DAG1
KIAA0907	AATF
PINK1	DICER1
TTC38	VPS29
VARS2	SURF4
NVL	ASCC3
NDUFAF3	SPG20
COMMD4	ACTN1
CWF19L2	PRPF19
SEC61B	ARID1A
SLU7	LYAR
ACOT9	PGRMC1
EXOC4	ADAMTS1
UMPS	BAG6
AIG1	NEO1
SHKBP1	ACSL4
PSME1	SLC38A2
EIF2D	PPP1CB
NFIC	HDGF
H2AFX	CDC5L
MRPL54	PJA2
CARS	LETM1
SELENON	APEX1
TIGD5	CLSPN
EIF3F	SRSF5
EHD1	TECR
TRIT1	PKN2
ERCC2	SNRPA
MLXIP	ECT2
GTPBP3	EFTUD2
GUK1	ZBTB33
CELF2	ZMYM2
ZEB1	NDUFA8
CERCAM	UBE2K
SLC25A24	AIFM1
GTPBP10	GTF2F1
ZXDC	DDX1
NUPL2	EZR
PODXL2	RPS6KA3
TRMU	UBL7
CD99L2	PHB
QSER1	RAB1A
EIF4E	WAC
HEATR6	NIPBL
PIGT	LARP4
ID3	RBM10
TAF1	KCTD12
NME4	TTC37
GLYR1	PSMC2
LYPLAL1	PRC1
ALDH2	NME1
HIST1H2AL	BANF1
MARS2	CTR9
AK6	YY1
DNTTIP2	MFN2
PNRC1	SYMPK
MCAM	IQGAP2
SPG11	HECTD1
GM2A	ANXA11
POFUT1	HYOU1
PERP	UBE2M
UBXN7	QKI
VPS13C	CDC25A
SH3BGRL	RAD21
B3GALT6	CTTN
PYM1	CDK12
ZYG11A	HELLS
CHCHD1	AHCYL1
CETN2	FEN1
GPATCH1	ADD1
MTO1	SEC23A
HEXA	MAGOH
PPDPF	RPS9
RHPN2	C15orf39
RSF1	SAE1
POLR2D	AP3D1
SURF1	USP33
TIMM8B	WDR26
CHID1	LAPTM4A
PDSS1	SET
TRUB2	SAFB
TRIAP1	LAPTM4B
FAM175B	SCAF4
COQ9	AGL
MED28	UBTF
UBXN8	UBE2E1
C1orf174	ZNF460
LPCAT2	PHF6
NFU1	MRPL41
COIL	URI1
P3H3	NDUFC2
STX8	CCND1
SERPINE2	RBM14
HACD2	RPA2
MEAF6	KPNA1
TCF25	NUP93
CSRP2	XPO7
SDR39U1	PA2G4
XPNPEP3	SLC12A2
SNAPIN	FSCN1
C16orf62	ARL1
COG5	OBSL1
R3HCC1	PPP6R1
SPG7	SLC19A1
CBLL1	LRBA
HOXC9	PSMA7
RRN3	VCAN
RANBP6	EXOC2
TFDP1	POMP
TTC26	CDK2
RPL23A	DNM2
RGS10	SEC13
PNPO	CALM2
CEP97	PTPN13
RICTOR	BLVRA
RNF149	PTPA
DDX28	MRPL24
WDR83OS	DHCR24
RPS19BP1	TIAL1
PLBD2	TMEM123
ATP5SL	REEP4
ZPR1	BAZ1A
SPATA5L1	LAMA4
ZNF593	EEA1
TFAP4	SLC7A1
TWISTNB	MARCKS
LSM2	STARD7
PDAP1	ADD3
IAH1	RNPS1
SIVA1	KPNA3
CENPM	ZMYM4
DOLPP1	NUP58
TAF1D	FHL1
CCDC34	AHSA1
MZT1	TSC22D3
	INTS3
	SERPINH1
